sound,vowel,F1.20.,F1.35.,F1.50.,F1.65.,F1.80.,F2.20.,F2.35.,F2.50.,F2.65.,F2.80.,F3.20.,F3.35.,F3.50.,F3.65.,F3.80.
NZ,had,811.9,679.6,620,466.2,734.3,2353.9,2052.9,1740.9,2238.4,2274.3,3045.6,2853.9,2585.3,3453.3,3097.9
NZ,heed,389.6,349.3,343.8,336.3,840.8,1664.5,1743,2836.4,2491.6,2126.1,2721.7,2795.4,3181.5,2896.9,3221.8
NZ,head,231.4,438.7,490.3,229.7,636.6,2466.2,2703.2,2586.9,1864.2,2062.8,3203,3142.5,3107,3006.6,3218.9
NZ,hid,631.8,584,521.4,395.5,270.1,2126.8,2110.2,2039.7,1919.9,2047.9,2949.5,2956.4,3001.8,2947.6,3522.8
NZ,heed,493.8,436.4,351.3,323.3,351.5,2586.8,2596.4,2658.4,2650.4,2442.4,3186.3,3199,3245.3,3283.9,2990.2
NZ,hid,564.3,427.4,440.6,360.2,187,1892.6,1895.1,1930.8,1842.5,1845.5,2703.6,2733.9,2772.2,2720.2,2898.9
NZ,had,686.2,621.9,611.9,463.7,206.9,1966,1904.3,1970.2,1941.8,2140.9,2699.1,2744.2,2796.4,2661.4,3365.9
NZ,heed,315.5,324.6,308.2,270.4,211.7,2346.6,2365,2414.9,2388.4,1952.8,3006.3,3077.6,3146.8,3041,3147.2
NZ,hid,352.5,455.6,472.1,259.4,182.1,1921.6,1967.2,2008.8,1791.6,2058,2736.7,2713.2,2746.9,2674.8,3428.9
NZ,heed,317,305.7,261.8,283.7,214.8,2322.8,2367.1,2399.1,2388.6,2037.3,3025.1,3081.9,3154.7,3021.6,3072.5
NZ,hid,953.5,484,400.7,219.9,800.6,2306.1,1942.8,1893.2,1619.5,2238.4,3240.8,2721.3,2734.1,2880.5,3369.3
NZ,hid,600.6,469.6,452.4,231.9,366.8,1946.7,1894.4,1861.5,1891.5,2083.4,2697,2707.3,2737.6,3254.8,3118.4
NZ,hid,600.4,478.7,205.6,600.8,395.3,1900.7,1885.4,1798.5,1801,1853.1,2612,2662.9,2766.1,2974.7,2706.2
